           1   9.81070805    
           2   39.1990128    
           3   176.102997    
           4   792.447266    
           5   3566.01172    
           6   16047.0518    
           7   72211.7344    
           8   324952.812    
           9   1462287.62    
          10   6580293.50    
          11   29611320.0    
          12   133250920.    
          13   599629184.    
          14   2.69833165E+09
          15   1.21424916E+10
          16   5.46412093E+10
          17   2.45885436E+11
          18   1.10648453E+12
          19   4.97918044E+12
          20   2.24063117E+13
          21   1.00828384E+14
          22   4.53727794E+14
          23   2.04177484E+15
          24   9.18798731E+15
          25   4.13459451E+16
          26   1.86056746E+17
          27   8.37255290E+17
          28   3.76764867E+18
          29   1.69544176E+19
          30         Infinity
          31         Infinity
          32         Infinity
          33         Infinity
          34         Infinity
          35         Infinity
          36         Infinity
          37         Infinity
          38         Infinity
          39         Infinity
          40         Infinity
          41         Infinity
          42         Infinity
          43         Infinity
          44         Infinity
          45         Infinity
          46         Infinity
          47         Infinity
          48         Infinity
          49         Infinity
          50         Infinity
          51         Infinity
          52         Infinity
          53         Infinity
          54         Infinity
          55         Infinity
          56         Infinity
          57         Infinity
          58         Infinity
          59         Infinity
          60              NaN
