           1   3.16227770    
           2   11.2040701    
           3   24.4200401    
           4   61.5028763    
           5   148.718964    
           6   364.227234    
           7   888.417908    
           8   2169.87427    
           9   5297.42480    
          10   12934.7031    
          11   31581.1484    
          12   77109.1641    
          13   188270.328    
          14   459683.031    
          15   1122367.12    
          16   2740383.75    
          17   6690951.50    
          18   16336699.0    
          19   39887864.0    
          20   97390640.0    
          21   237790016.    
          22   580590656.    
          23   1.41757645E+09
          24   3.46117043E+09
          25   8.45083136E+09
          26   2.06336410E+10
          27   5.03793213E+10
          28   1.23006714E+11
          29   3.00334514E+11
          30   7.33300064E+11
          31   1.79043303E+12
          32   4.37154113E+12
          33   1.06736019E+13
          34   2.60607836E+13
          35   6.36302844E+13
          36   1.55360392E+14
          37   3.79329633E+14
          38   9.26175472E+14
          39   2.26135987E+15
          40   5.52136031E+15
          41   1.34810165E+16
          42   3.29153946E+16
          43   8.03665862E+16
          44   1.96223948E+17
          45   4.79102502E+17
          46   1.16978183E+18
          47   2.85615160E+18
          48   6.97361182E+18
          49   1.70268436E+19
          50         Infinity
          51         Infinity
          52         Infinity
          53         Infinity
          54         Infinity
          55         Infinity
          56         Infinity
          57         Infinity
          58         Infinity
          59         Infinity
          60         Infinity
          61         Infinity
          62         Infinity
          63         Infinity
          64         Infinity
          65         Infinity
          66         Infinity
          67         Infinity
          68         Infinity
          69         Infinity
          70         Infinity
          71         Infinity
          72         Infinity
          73         Infinity
          74         Infinity
          75         Infinity
          76         Infinity
          77         Infinity
          78         Infinity
          79         Infinity
          80         Infinity
          81         Infinity
          82         Infinity
          83         Infinity
          84         Infinity
          85         Infinity
          86         Infinity
          87         Infinity
          88         Infinity
          89         Infinity
          90         Infinity
          91         Infinity
          92         Infinity
          93         Infinity
          94         Infinity
          95         Infinity
          96         Infinity
          97         Infinity
          98         Infinity
          99         Infinity
         100         Infinity
         101              NaN
